paper_id,paper,doi,doi_url,year,title
REFINE-0018,"Redlich, R., Almeida, J. J. R., Grotegerd, D., Opel, N., Kugel, H., Heindel, W., Arolt, V., Phillips, M. L., & Dannlowski, U. (2014b). “Brain morphometric biomarkers distinguishing unipolar and bipolar depression: A voxel-based morphometry–pattern classification approach”: Correction. JAMA Psychiatry, 71(12), 1408. https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2014-56049-015&amp",,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2014-56049-015&amp,2014,“Brain morphometric biomarkers distinguishing unipolar and bipolar depression: A voxel-based morphometry–pattern classification approach”: Correction
REFINE-0022,"Erata, M. C., Eroğlu, S., Özkul, B., Uslu, Ö., Erdoğan, Y., Kıtış, Ö., & Gönül, A. S. (2023). The reflection of self-esteem on the brain structure: A voxel based morphometry study in healthy young adults. Nöropsikiyatri Arşivi, 60(3), 202–206. https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2024-80829-002&amp",,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2024-80829-002&amp,2023,The reflection of self-esteem on the brain structure: A voxel based morphometry study in healthy young adults
REFINE-0025,"Wang, S., Zhao, Y., Li, J., Lai, H., Qiu, C., Pan, N., & Gong, Q. (2020). Neurostructural correlates of hope: Dispositional hope mediates the impact of the SMA gray matter volume on subjective well-being in late adolescence. Social Cognitive and Affective Neuroscience, 15(4), 395–404. https://doi.org/10.1093/scan/nsaa046",10.1093/scan/nsaa046,https://doi.org/10.1093/scan/nsaa046,2020,Neurostructural correlates of hope: Dispositional hope mediates the impact of the SMA gray matter volume on subjective well-being in late adolescence
REFINE-0095,"Wang, Y., Zou, Z., Song, H., Xu, X., Wang, H., Uquillas, F. d’Oleire, & Huang, X. (2016). Altered gray matter volume and white matter integrity in college students with mobile phone dependence. Frontiers in Psychology, 7. https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2016-30790-001&amp",,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2016-30790-001&amp,2016,Altered gray matter volume and white matter integrity in college students with mobile phone dependence
REFINE-0139,"Bär, K.-J., de la Cruz, F., Berger, S., Schultz, C. C., & Wagner, G. (2015). Structural and functional differences in the cingulate cortex relate to disease severity in anorexia nervosa. Journal of Psychiatry & Neuroscience, 40(4), 269–278. https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2015-41955-007&amp",,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2015-41955-007&amp,2015,Structural and functional differences in the cingulate cortex relate to disease severity in anorexia nervosa
REFINE-0141,"Venkatraman, T. N., Krishnan, R. R., Steffens, D. C., Song, A. W., & Taylor, W. D. (2009). Biochemical abnormalities of the medial temporal lobe and medial prefrontal cortex in late-life depression. Psychiatry Research: Neuroimaging, 172(1), 49–54. https://doi.org/10.1016/j.pscychresns.2008.07.001",10.1016/j.pscychresns.2008.07.001,https://doi.org/10.1016/j.pscychresns.2008.07.001,2009,Biochemical abnormalities of the medial temporal lobe and medial prefrontal cortex in late-life depression
REFINE-0148,"Hong, W., Zhao, Z., Wang, D., Li, M., Tang, C., Li, Z., Xu, R., & Chan, C. C. H. (2020). Altered gray matter volumes in post-stroke depressive patients after subcortical stroke. NeuroImage: Clinical, 26. https://doi.org/10.1016/j.nicl.2020.102224",10.1016/j.nicl.2020.102224,https://doi.org/10.1016/j.nicl.2020.102224,2020,Altered gray matter volumes in post-stroke depressive patients after subcortical stroke
REFINE-0160,"Seminowicz, D. A., Shpaner, M., Keaser, M. L., Krauthamer, G. M., Mantegna, J., Dumas, J. A., Newhouse, P. A., Filippi, C. G., Keefe, F. J., & Naylor, M. R. (2013). Cognitive-behavioral therapy increases prefrontal cortex gray matter in patients with chronic pain. The Journal of Pain, 14(12), 1573–1584. https://doi.org/10.1016/j.jpain.2013.07.020",10.1016/j.jpain.2013.07.020,https://doi.org/10.1016/j.jpain.2013.07.020,2013,Cognitive-behavioral therapy increases prefrontal cortex gray matter in patients with chronic pain
REFINE-0194,"Huang, X., Zhuo, Y., Wang, X., Xu, J., Yang, Z., Zhou, Y., Lv, H., Ma, X., Yan, B., Zhao, H., & Yu, H. (2023). Structural and functional improvement of amygdala sub-regions in postpartum depression after acupuncture. Frontiers in Human Neuroscience, 17. https://doi.org/10.3389/fnhum.2023.1163746",10.3389/fnhum.2023.1163746,https://doi.org/10.3389/fnhum.2023.1163746,2023,Structural and functional improvement of amygdala sub-regions in postpartum depression after acupuncture
REFINE-0195,"Paolini, M., Harrington, Y., Colombo, F., Bettonagli, V., Poletti, S., Carminati, M., Colombo, C., Benedetti, F., & Zanardi, R. (2023a). Hippocampal and parahippocampal volume and function predict antidepressant response in patients with major depression: A multimodal neuroimaging study. Journal of Psychopharmacology, 37(11), 1070–1081. https://doi.org/10.1177/02698811231190859",10.1177/02698811231190859,https://doi.org/10.1177/02698811231190859,2023,Hippocampal and parahippocampal volume and function predict antidepressant response in patients with major depression: A multimodal neuroimaging study
REFINE-0205,"Boehringer, A., Tost, H., Haddad, L., Lederbogen, F., Wüst, S., Schwarz, E., & Meyer-Lindenberg, A. (2015a). Neural Correlates of the Cortisol Awakening Response in Humans. Neuropsychopharmacology, 40(9), 2278–2285. https://doi.org/10.1038/npp.2015.77",10.1038/npp.2015.77,https://doi.org/10.1038/npp.2015.77,2015,Neural Correlates of the Cortisol Awakening Response in Humans
REFINE-0211,"Perna, R. (2005). Major Depression and Suicidality Following Brain Injury. Journal of Cognitive Rehabilitation, 23(1), 5–7. https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2005-03856-001&amp",,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2005-03856-001&amp,2005,Major Depression and Suicidality Following Brain Injury
REFINE-0249,"Wu, Y., Wu, X., Wei, Q., Wang, K., & Tian, Y. (2020). Differences in cerebral structure associated with depressive symptoms in the elderly with Alzheimer’s disease. Frontiers in Aging Neuroscience, 12. https://doi.org/10.3389/fnagi.2020.00107",10.3389/fnagi.2020.00107,https://doi.org/10.3389/fnagi.2020.00107,2020,Differences in cerebral structure associated with depressive symptoms in the elderly with Alzheimer’s disease
REFINE-0300,"Wang, J., Lyu, H., Chen, J., Lin, S., Zheng, H., Li, J., Kong, F., Gao, J., Yu, H., Hu, Y., & Guo, Z. (2020). Cortical alterations are associated with depression in subcortical vascular mild cognitive impairment revealed by surface-based morphometry. Journal of Alzheimer’s Disease, 78(2), 673–681. https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2021-21552-016&amp",,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2021-21552-016&amp,2020,Cortical alterations are associated with depression in subcortical vascular mild cognitive impairment revealed by surface-based morphometry
REFINE-0318,"Byun, M. S., Choe, Y. M., Sohn, B. K., Yi, D., Han, J. Y., Park, J., Choi, H. J., Baek, H., Lee, J. H., Kim, H. J., Kim, Y. K., Yoon, E. J., Sohn, C.-H., Woo, J. I., & Lee, D. Y. (2016). Association of cerebral amyloidosis, blood pressure, and neuronal injury with late-life onset depression. Frontiers in Aging Neuroscience, 8. https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2016-53012-001&amp",,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2016-53012-001&amp,2016,"Association of cerebral amyloidosis, blood pressure, and neuronal injury with late-life onset depression"
REFINE-0346,"Penninck, L., Ibrahim, E. C., Artiges, E., Gorgievski, V., Desrivières, S., Farley, S., Filippi, I., de Macedo, C. E. A., Belzeaux, R., Banaschewski, T., Bokde, A. L. W., Quinlan, E. B., Flor, H., Grigis, A., Garavan, H., Gowland, P., Heinz, A., Brühl, R., Nees, F., … Martinot, J.-L. (2021). Immune-related genetic overlap between regional gray matter reductions and psychiatric symptoms in adolescents, and gene-set validation in a translational model. Frontiers in Systems Neuroscience, 15. https://doi.org/10.3389/fnsys.2021.725413",10.3389/fnsys.2021.725413,https://doi.org/10.3389/fnsys.2021.725413,2021,"Immune-related genetic overlap between regional gray matter reductions and psychiatric symptoms in adolescents, and gene-set validation in a translational model"
REFINE-0351,"Willette, A. A., Pappas, C., Hoth, N., Wang, Q., Klinedinst, B., Willette, S. A., Larsen, B., Pollpeter, A., Li, T., Le, S., Collazo-Martinez, A. D., Mochel, J. P., Allenspach, K., & Dantzer, R. (2021). Inflammation, negative affect, and amyloid burden in Alzheimer’s disease: Insights from the kynurenine pathway. Brain, Behavior, and Immunity, 95, 216–225. https://doi.org/10.1016/j.bbi.2021.03.019",10.1016/j.bbi.2021.03.019,https://doi.org/10.1016/j.bbi.2021.03.019,2021,"Inflammation, negative affect, and amyloid burden in Alzheimer’s disease: Insights from the kynurenine pathway"
